Scientific Name ▴,Fangs,Toxicity,Rating ?,Snake,Region,Venomous  /Non-venomous
Virginia valeriae,rear-fanged,unclear toxicity,???,Eastern Smooth Earth Snake,Ohio,Non-Venomous
Virginia valeriae,rear-fanged,unclear toxicity,???,Eastern Smooth Earth Snake,Pennsylvania,Non-Venomous
Tropidoclonion lineatum,rear-fanged,unclear toxicity,???,Lined Snake,Arkansas,Non-Venomous
Tropidoclonion lineatum,rear-fanged,unclear toxicity,???,Lined Snake,Colorado,Non-Venomous
Tropidoclonion lineatum,rear-fanged,unclear toxicity,???,Lined Snake,Illinois,Non-Venomous
Tropidoclonion lineatum,rear-fanged,unclear toxicity,???,Lined Snake,Lowa,Non-Venomous
Tropidoclonion lineatum,rear-fanged,unclear toxicity,???,Lined Snake,Kansas,Non-Venomous
Tropidoclonion lineatum,rear-fanged,unclear toxicity,???,Lined Snake,Nebraska,Non-Venomous
Tropidoclonion lineatum,rear-fanged,unclear toxicity,???,Lined Snake,New Mexico,Non-Venomous
Tropidoclonion lineatum,rear-fanged,unclear toxicity,???,Lined Snake,South Dakota,Non-Venomous
Tropidoclonion lineatum,rear-fanged,unclear toxicity,???,Lined Snake,Texas,Non-Venomous
Trimorphodon lambda,rear-fanged,venomous,💀💀,Sonoran Lyre Snake,New Mexico,Non-Venomous
Trimorphodon lambda,rear-fanged,venomous,💀💀,Sonoran Lyre Snake,Utah,Non-Venomous
Thamnophis sirtalis,rear-fanged,venomous,💀💀,Common Garter Snake,Arkansas,Non-Venomous
Thamnophis sirtalis,rear-fanged,venomous,💀💀,Common Garter Snake,Florida,Non-Venomous
Thamnophis sirtalis,rear-fanged,venomous,💀💀,Common Garter Snake,Kansas,Non-Venomous
Thamnophis sirtalis,rear-fanged,venomous,💀💀,Common Garter Snake,Louisiana,Non-Venomous
Thamnophis sirtalis,rear-fanged,venomous,💀💀,Common Garter Snake,Massachusetts,Non-Venomous
Thamnophis sirtalis,rear-fanged,venomous,💀💀,Common Garter Snake,Michigan,Non-Venomous
Thamnophis sirtalis,rear-fanged,venomous,💀💀,Common Garter Snake,Mississippi,Non-Venomous
Thamnophis sirtalis,rear-fanged,venomous,💀💀,Common Garter Snake,Montana,Non-Venomous
Thamnophis sirtalis,rear-fanged,venomous,💀💀,Common Garter Snake,North Dakota,Non-Venomous
Thamnophis sirtalis,rear-fanged,venomous,💀💀,Common Garter Snake,Oregon,Non-Venomous
Thamnophis sirtalis,rear-fanged,venomous,💀💀,Common Garter Snake,South Dakota,Non-Venomous
Thamnophis sirtalis,rear-fanged,venomous,💀💀,Common Garter Snake,Washington,Non-Venomous
Thamnophis sirtalis,rear-fanged,venomous,💀💀,Common Garter Snake,Wyoming,Non-Venomous
Thamnophis saurita,rear-fanged,venomous,?💀?,Eastern ribbon snake,Alabama,Non-Venomous
Thamnophis saurita,rear-fanged,venomous,?💀?,Eastern ribbon snake,Delaware,Non-Venomous
Thamnophis saurita,rear-fanged,venomous,?💀?,Eastern ribbon snake,New Jersey,Non-Venomous
Thamnophis saurita,rear-fanged,venomous,?💀?,Eastern ribbon snake,South Carolina,Non-Venomous
Thamnophis radix,rear-fanged,venomous,?💀?,Plains Gartersnake,Illinois,Non-Venomous
Thamnophis radix,rear-fanged,venomous,?💀?,Plains Gartersnake,Indiana,Non-Venomous
Thamnophis radix,rear-fanged,venomous,?💀?,Plains Gartersnake,Texas,Non-Venomous
Thamnophis proximus,rear-fanged,venomous,?💀?,Western Ribbon Snake,Arkansas,Non-Venomous
Thamnophis proximus,rear-fanged,venomous,?💀?,Western Ribbon Snake,Lowa,Non-Venomous
Thamnophis proximus,rear-fanged,venomous,?💀?,Western Ribbon Snake,Kansas,Non-Venomous
Thamnophis proximus,rear-fanged,venomous,?💀?,Western Ribbon Snake,Louisiana,Non-Venomous
Thamnophis proximus,rear-fanged,venomous,?💀?,Western Ribbon Snake,Louisiana,Non-Venomous
Thamnophis proximus,rear-fanged,venomous,?💀?,Western Ribbon Snake,Missouri,Non-Venomous
Thamnophis proximus,rear-fanged,venomous,?💀?,Western Ribbon Snake,Nebraska,Non-Venomous
Thamnophis ordinoides,rear-fanged,venomous,?💀?,Northwestern Garter Snake,Oregon,Non-Venomous
Thamnophis ordinoides,rear-fanged,venomous,?💀?,Northwestern Garter Snake,Washington,Non-Venomous
Thamnophis marcianus,rear-fanged,venomous,?💀?,Checkered Garter Snake,Arizona,Non-Venomous
Thamnophis marcianus,rear-fanged,venomous,?💀?,Checkered Garter Snake,Kansas,Non-Venomous
Thamnophis elegans,rear-fanged,venomous,💀💀,Western Terrestrial Garter Snake,Oregon,Non-Venomous
Thamnophis elegans,rear-fanged,venomous,💀💀,Western Terrestrial Garter Snake,Washington,Non-Venomous
Thamnophis brachystoma,rear-fanged,venomous,?💀?,Shorthead Garter Snake,Ohio,Non-Venomous
Thamnophis brachystoma,rear-fanged,venomous,?💀?,Shorthead Garter Snake,Pennsylvania,Non-Venomous
Thamnophis atratus,rear-fanged,venomous,?💀?,Santa Cruz Garter Snake,Oregon,Non-Venomous
Tantilla nigriceps,rear-fanged,venomous,?💀?,Plains Blackhead Snake,Kansas,Non-Venomous
Tantilla hobartsmithi,rear-fanged,venomous,?💀?,Southwestern Blackhead Snake,Arizona,Venomous
Tantilla gracilis,rear-fanged,venomous,?💀?,Flathead Snake,Arkansas,Non-Venomous
Tantilla gracilis,rear-fanged,venomous,?💀?,Flathead Snake,Kansas,Non-Venomous
Tantilla coronata,rear-fanged,venomous,?💀?,Southeastern Crowned Snake,Indiana,Non-Venomous
Tantilla coronata,rear-fanged,venomous,?💀?,Southeastern Crowned Snake,Kentucky,Non-Venomous
Tantilla coronata,rear-fanged,venomous,?💀?,Southeastern Crowned Snake,Louisiana,Non-Venomous
Tantilla coronata,rear-fanged,venomous,?💀?,Southeastern Crowned Snake,Mississippi,Non-Venomous
Tantilla coronata,rear-fanged,venomous,?💀?,Southeastern Crowned Snake,North Carolina,Non-Venomous
Tantilla coronata,rear-fanged,venomous,?💀?,Southeastern Crowned Snake,Tennessee,Non-Venomous
Tantilla coronata,rear-fanged,venomous,?💀?,Southeastern Crowned Snake,Virginia,Non-Venomous
Storeria occipitomaculata,rear-fanged,unclear toxicity,???,Redbelly Snake,Arkansas,Non-Venomous
Storeria occipitomaculata,rear-fanged,unclear toxicity,???,Redbelly Snake,California,Non-Venomous
Storeria occipitomaculata,rear-fanged,unclear toxicity,???,Redbelly Snake,Florida,Non-Venomous
Storeria occipitomaculata,rear-fanged,unclear toxicity,???,Redbelly Snake,Lowa,Non-Venomous
Storeria occipitomaculata,rear-fanged,unclear toxicity,???,Redbelly Snake,Massachusetts,Non-Venomous
Storeria occipitomaculata,rear-fanged,unclear toxicity,???,Redbelly Snake,Mississippi,Non-Venomous
Storeria occipitomaculata,rear-fanged,unclear toxicity,???,Redbelly Snake,North Carolina,Non-Venomous
Storeria occipitomaculata,rear-fanged,unclear toxicity,???,Redbelly Snake,North Dakota,Non-Venomous
Storeria occipitomaculata,rear-fanged,unclear toxicity,???,Redbelly Snake,South Carolina,Non-Venomous
Storeria occipitomaculata,rear-fanged,unclear toxicity,???,Redbelly Snake,South Dakota,Non-Venomous
Sonora semiannulata,rear-fanged,unclear toxicity,???,Ground Snake,Arizona,Non-Venomous
Sonora semiannulata,rear-fanged,unclear toxicity,???,Ground Snake,Arkansas,Non-Venomous
Sonora semiannulata,rear-fanged,unclear toxicity,???,Ground Snake,Colorado,Non-Venomous
Sonora semiannulata,rear-fanged,unclear toxicity,???,Ground Snake,Idaho,Non-Venomous
Sonora semiannulata,rear-fanged,unclear toxicity,???,Ground Snake,Kansas,Non-Venomous
Sonora semiannulata,rear-fanged,unclear toxicity,???,Ground Snake,Utah,Non-Venomous
Rhadinaea flavilata,rear-fanged,unclear toxicity,???,Pine Woods Snake,Florida,Non-Venomous
Rhadinaea flavilata,rear-fanged,unclear toxicity,???,Pine Woods Snake,Louisiana,Non-Venomous
Rhadinaea flavilata,rear-fanged,unclear toxicity,???,Pine Woods Snake,Louisiana,Non-Venomous
Rhadinaea flavilata,rear-fanged,unclear toxicity,???,Pine Woods Snake,Mississippi,Non-Venomous
Rhadinaea flavilata,rear-fanged,unclear toxicity,???,Pine Woods Snake,North Carolina,Non-Venomous
Rena dissecta,non-fanged,non-venomous,---,New Mexico Blind Snake,Kansas,Non-Venomous
Rena dissecta,non-fanged,non-venomous,---,New Mexico Blind Snake,New Mexico,Non-Venomous
Regina septemvittata,rear-fanged,unclear toxicity,???,Queen Snake,Arkansas,Non-Venomous
Regina septemvittata,rear-fanged,unclear toxicity,???,Queen Snake,Florida,Non-Venomous
Regina septemvittata,rear-fanged,unclear toxicity,???,Queen Snake,Illinois,Non-Venomous
Regina septemvittata,rear-fanged,unclear toxicity,???,Queen Snake,Indiana,Non-Venomous
Regina septemvittata,rear-fanged,unclear toxicity,???,Queen Snake,Kentucky,Non-Venomous
Regina septemvittata,rear-fanged,unclear toxicity,???,Queen Snake,Michigan,Non-Venomous
Regina septemvittata,rear-fanged,unclear toxicity,???,Queen Snake,Mississippi,Non-Venomous
Regina septemvittata,rear-fanged,unclear toxicity,???,Queen Snake,New York,Non-Venomous
Regina septemvittata,rear-fanged,unclear toxicity,???,Queen Snake,North Carolina,Non-Venomous
Regina septemvittata,rear-fanged,unclear toxicity,???,Queen Snake,Ohio,Non-Venomous
Regina septemvittata,rear-fanged,unclear toxicity,???,Queen Snake,Pennsylvania,Non-Venomous
Regina septemvittata,rear-fanged,unclear toxicity,???,Queen Snake,West Viriginia,Non-Venomous
Regina septemvittata,rear-fanged,unclear toxicity,???,Queen Snake,Wisconsin,Non-Venomous
Pituophis ruthveni,rear-fanged,unclear toxicity,???,Louisiana Pine Snake,Louisiana,Non-Venomous
Pituophis catenifer,rear-fanged,unclear toxicity,???,Gopher Snake,California,Non-Venomous
Pituophis catenifer,rear-fanged,unclear toxicity,???,Gopher Snake,Kansas,Non-Venomous
Pituophis catenifer,rear-fanged,unclear toxicity,???,Gopher Snake,Mississippi,Non-Venomous
Pituophis catenifer,rear-fanged,unclear toxicity,???,Gopher Snake,Montana,Non-Venomous
Pituophis catenifer,rear-fanged,unclear toxicity,???,Gopher Snake,Nevada,Non-Venomous
Phyllorhynchus decurtatus,rear-fanged,unclear toxicity,???,Spotted Leafnose Snake,Utah,Non-Venomous
Phyllorhynchus browni,rear-fanged,unclear toxicity,???,Saddled Leafnose Snake,Arizona,Non-Venomous
Philothamnus hoplogaster,rear-fanged,unclear toxicity,???,Green Water Snake,Florida,Non-Venomous
Pantherophis vulpinus,rear-fanged,unclear toxicity,???,Eastern Fox Snake,Ohio,Non-Venomous
Pantherophis spiloides,rear-fanged,unclear toxicity,???,Gray Rat Snake,Louisiana,Non-Venomous
Pantherophis ramspotti,rear-fanged,unclear toxicity,???,Western Foxsnake,Illinois,Non-Venomous
Pantherophis ramspotti,rear-fanged,unclear toxicity,???,Western Foxsnake,Indiana,Non-Venomous
Pantherophis obsoletus,rear-fanged,unclear toxicity,???,Western Rat Snake,Arkansas,Non-Venomous
Pantherophis obsoletus,rear-fanged,unclear toxicity,???,Western Rat Snake,Kansas,Non-Venomous
Pantherophis obsoletus,rear-fanged,unclear toxicity,???,Western Rat Snake,Louisiana,Non-Venomous
Pantherophis emoryi,rear-fanged,unclear toxicity,???,Great Plains Rat Snake,Kansas,Non-Venomous
Pantherophis emoryi,rear-fanged,unclear toxicity,???,Great Plains Rat Snake,Missouri,Non-Venomous
Pantherophis emoryi,rear-fanged,unclear toxicity,???,Great Plains Rat Snake,New Mexico,Non-Venomous
Opheodrys vernalis,rear-fanged,unclear toxicity,???,Smooth Green Snake,Lowa,Non-Venomous
Opheodrys vernalis,rear-fanged,unclear toxicity,???,Smooth Green Snake,Massachusetts,Non-Venomous
Opheodrys vernalis,rear-fanged,unclear toxicity,???,Smooth Green Snake,Michigan,Non-Venomous
Opheodrys vernalis,rear-fanged,unclear toxicity,???,Smooth Green Snake,Missouri,Non-Venomous
Opheodrys vernalis,rear-fanged,unclear toxicity,???,Smooth Green Snake,North Dakota,Non-Venomous
