X,Y,ID,NAME,ADDRESS,CITY,STATE,TELEPHONE,TYPE,COUNTY,COUNTRY,LATITUDE,LONGITUDE,OWNER
-120.545744,41.48005626,30696101,MODOC MEDICAL CENTER,228 MC DOWELL STREET,ALTURAS,CA,NOT AVAILABLE,GENERAL ACUTE CARE,MODOC,USA,41.48005626,-120.545744,GOVERNMENT - LOCAL
-121.6459838,36.65903046,38593901,SALINAS VALLEY MEMORIAL HOSPITAL,450 EAST ROMIE LANE,SALINAS,CA,NOT AVAILABLE,GENERAL ACUTE CARE,MONTEREY,USA,36.65903046,-121.6459838,GOVERNMENT - DISTRICT/AUTHORITY
-119.3482345,36.32084395,22093277,KAWEAH DELTA  MENTAL HEALTH HOSPITAL D/P APH,1100 SO. AKERS STREET,VISALIA,CA,NOT AVAILABLE,GENERAL ACUTE CARE,TULARE,USA,36.32084395,-119.3482345,GOVERNMENT - DISTRICT/AUTHORITY
-82.00505739,30.84527535,1931537,CHARLTON MEMORIAL HOSPITAL,2449 THIRD STREET,FOLKSTON,GA,NOT AVAILABLE,GENERAL ACUTE CARE,CHARLTON,USA,30.84527535,-82.00505739,GOVERNMENT - DISTRICT/AUTHORITY
-92.44013511,31.32737894,4671360,CENTRAL LOUISIANA STATE HOSPITAL,242 W SHAMROCK AVE,PINEVILLE,LA,(318) 484-6200,PSYCHIATRIC,RAPIDES,USA,31.32737894,-92.44013511,GOVERNMENT - STATE
-92.65664868,32.82399167,15671222,REEVES MEMORIAL MEDICAL CENTER,409 1ST ST,BERNICE,LA,(318) 285-9066,GENERAL ACUTE CARE,UNION,USA,32.82399167,-92.65664868,GOVERNMENT - DISTRICT/AUTHORITY
-92.09913767,32.06003995,5371418,CITIZENS MEDICAL CENTER,7939 HIGHWAY 165,COLUMBIA,LA,(318) 649-6106,GENERAL ACUTE CARE,CALDWELL,USA,32.06003995,-92.09913767,GOVERNMENT - DISTRICT/AUTHORITY
-90.99193874,30.57753408,4270739,EAST LOUISIANA STATE HOSPITAL-GREENWELL SPRINGS,23260 GREENWELL SPRINGS RD,GREENWELL SPRINGS,LA,(225) 261-2730,GENERAL ACUTE CARE,EAST BATON ROUGE,USA,30.57753408,-90.99193874,GOVERNMENT - STATE
-87.92482708,44.52271226,2054311,BROWN CTY COMMUNITY TREATMENT CENTER,3150 GERSHWIN DRIVE,GREEN BAY,WI,(920) 391-4700,PSYCHIATRIC,BROWN,USA,44.52271226,-87.92482708,GOVERNMENT - LOCAL
-118.0679897,33.92803135,73790650,DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,11401 BLOOMFIELD AVENUE,NORWALK,CA,(562) 863-7011,PSYCHIATRIC,LOS ANGELES,USA,33.92803135,-118.0679897,GOVERNMENT - STATE
-91.21066049,30.83263569,164970748,FELICIANA FORENSIC FACILITY,4502 HWY 951,JACKSON,LA,(225) 634-0216,GENERAL ACUTE CARE,EAST FELICIANA,USA,30.83263569,-91.21066049,GOVERNMENT - STATE
-104.7970689,38.71911428,27,EVANS ARMY COMMUNITY HOSPITAL,1650 COCHRANE CIR,FORT CARSON,CO,NOT AVAILABLE,MILITARY,EL PASO,USA,38.71911428,-104.7970689,GOVERNMENT - FEDERAL
-116.0487938,34.22706647,35,ROBERT E. BUSH NAVAL HOSPITAL,STURGIS ST,TWENTYNINE PALMS,CA,NOT AVAILABLE,MILITARY,SAN BERNARDINO,USA,34.22706647,-116.0487938,GOVERNMENT - FEDERAL
-119.7791451,36.77325043,493703,VA CENTRAL CALIFORNIA HEALTH CARE SYSTEM,2615 E CLINTON AVE,FRESNO,CA,(559) 225-6100,MILITARY,FRESNO,USA,36.77325043,-119.7791451,GOVERNMENT - FEDERAL
-71.43314954,41.83213908,13402908,VA MEDICAL CENTER - PROVIDENCE,830 CHALKSTONE AVE,PROVIDENCE,RI,NOT AVAILABLE,GENERAL ACUTE CARE,PROVIDENCE,USA,41.83213908,-71.43314954,GOVERNMENT - FEDERAL
-90.49331901,44.00308068,15954660,VA MEDICAL CENTER - TOMAH,500 E VETERANS ST,TOMAH,WI,(608) 372-3971,MILITARY,MONROE,USA,44.00308068,-90.49331901,GOVERNMENT - FEDERAL
-84.66069977,32.08616827,23831825,STEWART WEBSTER HOSPITAL,580 ALSTON STREET,RICHLAND,GA,(229) 887-3366,CRITICAL ACCESS,STEWART,USA,32.08616827,-84.66069977,GOVERNMENT - DISTRICT/AUTHORITY
-71.07069042,42.33626713,10102118,DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER,85 EAST NEWTON ST,BOSTON,MA,(617) 266-8800,PSYCHIATRIC,SUFFOLK,USA,42.33626713,-71.07069042,GOVERNMENT - STATE
-93.74547615,40.75087608,13050144,DECATUR COUNTY HOSPITAL,1405 NORTHWEST CHURCH STREET,LEON,IA,(641) 446-4871,GENERAL ACUTE CARE,DECATUR,USA,40.75087608,-93.74547615,GOVERNMENT - LOCAL
-94.61057269,39.05996187,3666103,RAINBOW MENTAL HLTH FACILITY,2205 WEST 36TH AVENUE,KANSAS CITY,KS,(913) 789-5800,PSYCHIATRIC,WYANDOTTE,USA,39.05996187,-94.61057269,GOVERNMENT - STATE
-101.2519299,37.94659327,7567860,KEARNY COUNTY HOSPITAL,500 THORPE STREET,LAKIN,KS,(620) 355-7111,CRITICAL ACCESS,KEARNY,USA,37.94659327,-101.2519299,GOVERNMENT - LOCAL
-100.9267883,37.05668308,8467901,SOUTHWEST MEDICAL CENTER,315 WEST 15TH STREET,LIBERAL,KS,(620) 629-6291,GENERAL ACUTE CARE,SEWARD,USA,37.05668308,-100.9267883,GOVERNMENT - LOCAL
-99.42022212,37.92124642,6967547,EDWARDS COUNTY HOSPITAL,620 WEST EIGHTH STREET,KINSLEY,KS,(620) 659-3621,CRITICAL ACCESS,EDWARDS,USA,37.92124642,-99.42022212,GOVERNMENT - LOCAL
-71.14571446,41.70748691,11402720,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,49 HILLSIDE STREET,FALL RIVER,MA,(508) 295-0880,PSYCHIATRIC,BRISTOL,USA,41.70748691,-71.14571447,GOVERNMENT - STATE
-71.1094,42.39,6702143,CAMBRIDGE HEALTH ALLIANCE - SOMERVILLE CAMPUS,230 HIGHLAND AVENUE,SOMERVILLE,MA,NOT AVAILABLE,GENERAL ACUTE CARE,MIDDLESEX,USA,42.39,-71.1094,GOVERNMENT - DISTRICT/AUTHORITY
-92.42558764,33.81085539,2571742,DALLAS COUNTY MEDICAL CENTER,201 NORTH CLIFTON STREET,FORDYCE,AR,(870) 352-6300,CRITICAL ACCESS,DALLAS,USA,33.81085539,-92.42558764,GOVERNMENT - LOCAL
-90.20483796,36.39011947,2372454,PIGGOTT COMMUNITY HOSPITAL,1206 GORDON DUCKWORTH DRIVE,PIGGOTT,AR,(870) 598-3881,CRITICAL ACCESS,CLAY,USA,36.39011947,-90.20483796,GOVERNMENT - LOCAL
-92.32013731,34.74902515,3072205,UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET,LITTLE ROCK,AR,(501) 686-5000,GENERAL ACUTE CARE,PULASKI,USA,34.74902515,-92.32013731,GOVERNMENT - STATE
-93.05260787,34.51212501,4671901,HOT SPRINGS REHABILITATION CENTER,105 RESERVE STREET,HOT SPRINGS,AR,(501) 624-4411,REHABILITATION,GARLAND,USA,34.51212501,-93.05260787,GOVERNMENT - STATE
-92.08268605,34.22219143,3971603,ARKANSAS DEPT. OF CORRECTION-DIAGNOSTIC UNIT,7500 CORRECTIONS CIRCLE,PINE BLUFF,AR,(870) 267-6450,GENERAL ACUTE CARE,JEFFERSON,USA,34.22219143,-92.08268605,GOVERNMENT - STATE
-94.22163124,34.5890536,3271953,MENA REGIONAL HEALTH SYSTEM,311 NORTH MORROW STREET,MENA,AR,(479) 394-6100,GENERAL ACUTE CARE,POLK,USA,34.5890536,-94.22163124,GOVERNMENT - LOCAL
-84.93317191,37.31771681,1042539,CASEY COUNTY HOSPITAL,187 WOLFORD AVENUE,LIBERTY,KY,(606) 787-6275,CRITICAL ACCESS,CASEY,USA,37.31771681,-84.93317191,GOVERNMENT - LOCAL
-71.2744,42.5047,8401730,EDITH NOURSE ROGERS MEMORIAL VETERANS HOSPITAL,200 SPRINGS ROAD,BEDFORD,MA,NOT AVAILABLE,MILITARY,MIDDLESEX,USA,42.5047,-71.2744,GOVERNMENT - FEDERAL
-70.6023851,41.68839954,10702559,CAPE COD & ISLANDS COMMUNITY MENTAL HEALTH CENTER,830 COUNTY RD,BOURNE,MA,(508) 563-2276,PSYCHIATRIC,BARNSTABLE,USA,41.68839954,-70.6023851,GOVERNMENT - STATE
-71.76906694,42.27966719,13925027,WORCESTER RECOVERY CENTER AND HOSPITAL,309 BELMONT STREET,WORCESTER,MA,(508) 752-4681,PSYCHIATRIC,WORCESTER,USA,42.27966719,-71.76906694,GOVERNMENT - STATE
-85.51565374,46.35318009,7349868,HELEN NEWBERRY JOY HOSPITAL,502 W HARRIE ST,NEWBERRY,MI,NOT AVAILABLE,CRITICAL ACCESS,LUCE,USA,46.35318009,-85.51565374,GOVERNMENT - LOCAL
-92.32905785,38.93666726,8665201,HARRY S. TRUMAN MEMORIAL VETERANS HOSPITAL,800 HOSPITAL DR,COLUMBIA,MO,(573) 814-6000,GENERAL ACUTE CARE,BOONE,USA,38.93666726,-92.32905785,GOVERNMENT - FEDERAL
-98.00293433,41.10729705,1668826,MERRICK MEDICAL CENTER,1715  26TH ST,CENTRAL CITY,NE,(308) 946-3015,CRITICAL ACCESS,MERRICK,USA,41.10729705,-98.00293433,GOVERNMENT - LOCAL
-101.7270195,40.84879451,5369140,PERKINS COUNTY HEALTH SERVICES,900 LINCOLN AVE,GRANT,NE,(308) 352-7200,CRITICAL ACCESS,PERKINS,USA,40.84879451,-101.7270195,GOVERNMENT - DISTRICT/AUTHORITY
-75.20007509,39.94788477,25019104,VA MEDICAL CENTER - PHILADELPHIA,UNIVERSITY & WOODLAND AVENUES,PHILADELPHIA,PA,(215) 823-5800,MILITARY,PHILADELPHIA,USA,39.94788477,-75.20007509,GOVERNMENT - FEDERAL
-79.94792136,32.78588204,6929425,MUSC MEDICAL CENTER,169 ASHLEY AVE,CHARLESTON,SC,(843) 792-4000,GENERAL ACUTE CARE,CHARLESTON,USA,32.78588204,-79.94792136,GOVERNMENT - DISTRICT/AUTHORITY
-81.11419899,34.0059619,2429169,LEXINGTON MEDICAL CENTER,2720 SUNSET BLVD,WEST COLUMBIA,SC,(803) 791-2000,GENERAL ACUTE CARE,LEXINGTON,USA,34.0059619,-81.11419899,GOVERNMENT - DISTRICT/AUTHORITY
-80.83045817,33.54026745,7929118,REGIONAL MEDICAL CENTER OF ORANGEBURG & CALHOUN COUNTIES,3000 SAINT MATTHEWS RD,ORANGEBURG,SC,(803) 395-2454,GENERAL ACUTE CARE,ORANGEBURG,USA,33.54026745,-80.83045817,GOVERNMENT - LOCAL
-123.114415,47.22589089,798584,MASON GENERAL HOSPITAL,901 MOUNTAIN VIEW DRIVE,SHELTON,WA,(360) 426-1611,CRITICAL ACCESS,MASON,USA,47.22589089,-123.114415,GOVERNMENT - DISTRICT/AUTHORITY
-119.5465259,48.39656746,598841,MID-VALLEY HOSPITAL,810 JASMINE ST,OMAK,WA,(509) 826-1760,CRITICAL ACCESS,OKANOGAN,USA,48.39656746,-119.5465259,GOVERNMENT - DISTRICT/AUTHORITY
-80.68752097,32.41732977,8129902,BEAUFORT MEMORIAL HOSPITAL,955 RIBAUT RD,BEAUFORT,SC,(843) 522-5200,GENERAL ACUTE CARE,BEAUFORT,USA,32.41732977,-80.68752097,GOVERNMENT - LOCAL
-122.2803544,46.55567481,898356,MORTON GENERAL HOSPITAL,521 ADAMS ST,MORTON,WA,(360) 496-5112,CRITICAL ACCESS,LEWIS,USA,46.55567481,-122.2803544,GOVERNMENT - DISTRICT/AUTHORITY
-124.0426308,46.3114343,1498624,OCEAN BEACH HOSPITAL,174 1ST AVENUE NORTH,ILWACO,WA,(360) 642-3181,CRITICAL ACCESS,PACIFIC,USA,46.3114343,-124.0426308,GOVERNMENT - DISTRICT/AUTHORITY
-122.2763179,48.49608592,398204,PEACEHEALTH UNITED GENERAL HOSPITAL,2000 HOSPITAL DRIVE,SEDRO-WOOLLEY,WA,(360) 856-6021,CRITICAL ACCESS,SKAGIT,USA,48.49608592,-122.2763179,GOVERNMENT - DISTRICT/AUTHORITY
-122.3240431,48.41786968,2398273,SKAGIT VALLEY HOSPITAL,1415 KINCAID ST E,MT VERNON,WA,(360) 424-4111,GENERAL ACUTE CARE,SKAGIT,USA,48.41786968,-122.3240431,GOVERNMENT - DISTRICT/AUTHORITY
-122.6156668,48.50192876,7798221,ISLAND HOSPITAL,1211 24TH ST,ANACORTES,WA,(360) 299-1300,GENERAL ACUTE CARE,SKAGIT,USA,48.50192876,-122.6156668,GOVERNMENT - DISTRICT/AUTHORITY
-122.5522702,47.10866978,298431,MADIGAN ARMY MEDICAL CENTER,9040 JACKSON AVE,TACOMA,WA,(253) 968-1110,MILITARY,PIERCE,USA,47.10866978,-122.5522702,GOVERNMENT - FEDERAL
-117.3760498,46.86893031,1699111,WHITMAN HOSPITAL AND MEDICAL CENTER,1200 WEST FAIRVIEW ROAD,COLFAX,WA,(509) 397-3435,CRITICAL ACCESS,WHITMAN,USA,46.86893031,-117.3760498,GOVERNMENT - DISTRICT/AUTHORITY
-117.169806,46.71238824,3399163,PULLMAN REGIONAL HOSPITAL,835 SOUTHEAST BISHOP BOULEVARD,PULLMAN,WA,(509) 332-2541,CRITICAL ACCESS,WHITMAN,USA,46.71238824,-117.169806,GOVERNMENT - DISTRICT/AUTHORITY
-117.6452753,47.63941604,498438,US AIR FORCE HOSPITAL 92ND MEDICAL GROUP,701 HOSPITAL LOOP,FAIRCHILD AIR FORCE,WA,(509) 247-2361,MILITARY,SPOKANE,USA,47.63941604,-117.6452753,GOVERNMENT - FEDERAL
-122.1189458,48.18891955,5298223,CASCADE VALLEY HOSPITAL,330 STILLAGUAMISH AVE S,ARLINGTON,WA,(360) 435-2133,GENERAL ACUTE CARE,SNOHOMISH,USA,48.18891955,-122.1189458,GOVERNMENT - DISTRICT/AUTHORITY
-121.9897996,47.86421992,10598272,EVERGREEN HEALTH MONROE,14701 179TH AVE SE,MONROE,WA,(360) 794-7497,GENERAL ACUTE CARE,SNOHOMISH,USA,47.86421992,-121.9897996,GOVERNMENT - DISTRICT/AUTHORITY
-119.8681722,47.2309067,6798848,QUINCY VALLEY MEDICAL CENTER,908 10TH AVE SW,QUINCY,WA,(509) 787-3531,CRITICAL ACCESS,GRANT,USA,47.2309067,-119.8681722,GOVERNMENT - DISTRICT/AUTHORITY
-119.5464277,47.31449422,7398823,COLUMBIA BASIN HOSPITAL,200 NAT WASHINGTON WAY,EPHRATA,WA,(509) 754-4631,CRITICAL ACCESS,GRANT,USA,47.31449422,-119.5464277,GOVERNMENT - DISTRICT/AUTHORITY
-119.2651887,47.12816325,8498837,SAMARITAN HEALTHCARE,801 E. WHEELER RD,MOSES LAKE,WA,(509) 765-5606,GENERAL ACUTE CARE,GRANT,USA,47.12816325,-119.2651887,GOVERNMENT - DISTRICT/AUTHORITY
-119.1192167,46.19924546,2999336,TRIOS WOMEN'S AND CHILDREN'S HOSPITAL,900 AUBURN ST S,KENNEWICK,WA,(509) 586-6111,GENERAL ACUTE CARE,BENTON,USA,46.19924546,-119.1192167,GOVERNMENT - DISTRICT/AUTHORITY
-122.1784012,47.71589109,5498033,EVERGREEN HOSPITAL MEDICAL CENTER,12040 128TH ST NE,KIRKLAND,WA,(425) 899-1000,GENERAL ACUTE CARE,KING,USA,47.71589109,-122.1784012,GOVERNMENT - DISTRICT/AUTHORITY
-122.2139653,47.44277805,5798055,UW MEDICINE VALLEY MEDICAL CENTER,400 43RD ST S,RENTON,WA,(425) 228-3450,GENERAL ACUTE CARE,KING,USA,47.44277805,-122.2139653,GOVERNMENT - DISTRICT/AUTHORITY
-122.3239889,47.60386015,9898104,HARBORVIEW MEDICAL CENTER,325 9TH AVE,SEATTLE,WA,(206) 731-3000,GENERAL ACUTE CARE,KING,USA,47.60386015,-122.3239889,GOVERNMENT - LOCAL
-120.5378963,46.98709397,3098926,KITTITAS VALLEY COMMUNITY HOSPITAL,603 S CHESTNUT ST,ELLENSBURG,WA,(509) 962-9841,CRITICAL ACCESS,KITTITAS,USA,46.98709397,-120.5378963,GOVERNMENT - DISTRICT/AUTHORITY
-124.392588,47.94620734,7598331,FORKS COMMUNITY HOSPITAL,530 BOGACHIEL WAY,FORKS,WA,(360) 374-6271,CRITICAL ACCESS,CLALLAM,USA,47.94620734,-124.392588,GOVERNMENT - DISTRICT/AUTHORITY
