Region,Snake,Category,latitude,longitude
Alabama,Carolina Pygmy Rattlesnake,Venomous  ,34.8491,-86.5222
Alabama,Dusky Pygmy Rattlesnake,Venomous  ,31.3006,-86.3975
Alabama,Eastern Cottonmouth,Venomous  ,31.9111,-87.7419
Alabama,Eastern Coral Snake,Venomous  ,33.8789,-86.8241
Alabama,Eastern Diamondback Rattlesnake,Venomous  ,32.9791,-86.0358
Alabama,Florida Cottonmouth,Venomous  ,34.6718,-87.4063
Alabama,Northern Copperhead,Venomous  ,33.9446,-85.9319
Alabama,Southern Copperhead,Venomous  ,33.3891,-86.0361
Alabama,Timber Rattlesnake,Venomous  ,31.1858,-85.2359
Alabama,Western Cottonmouth,Venomous  ,33.9443,-87.8704
Alabama,Western Pygmy Rattlesnake,Venomous  ,33.5966,-85.869
Alabama,Gulf salt marsh snake,Non Venomous,33.544,-86.6599
Alabama,Mississippi green water snake,Non Venomous,31.2041,-85.3062
Alabama,Northern ringneck snake,Non Venomous,32.6314,-86.3268
Alabama,Eastern worm snake,Non Venomous,33.0567,-85.9312
Alabama,Midwestern worm snake,Non Venomous,33.6713,-85.8136
Alabama,Northern scarlet snake,Non Venomous,30.2758,-87.7014
Alabama,Northern black racer,Non Venomous,33.2302,-87.4827
Alabama,Southern black racer,Non Venomous,33.3129,-85.7508
Alabama,Redbelly water snake,Non Venomous,32.8895,-86.215
Alabama,Yellowbelly water snake,Non Venomous,33.7503,-87.0483
Alabama,Northern brown snake,Non Venomous,31.2999,-85.4502
Alabama,Marsh brown snake,Non Venomous,32.6049,-85.5948
Alabama,Midland Brown Snake,Non Venomous,33.322,-87.904
Alabama,Northern redbelly snake,Non Venomous,34.6438,-86.0491
Alabama,Southeastern crown snake,Non Venomous,33.0725,-86.2658
Alabama,Eastern ribbon snake,Non Venomous,31.781,-85.5583
Alabama,Common garter snake,Non Venomous,32.5982,-88.1891
Alabama,Smooth earth snake,Non Venomous,34.6407,-87.1838
Alabama,Western earth snake,Non Venomous,31.1436,-85.0925
Alabama,Eastern earth snake,Non Venomous,33.9873,-87.4876
Alabama,Broad-banded water snake,Non Venomous,33.1746,-87.2314
Alabama,Southern banded water snake,Non Venomous,31.7033,-87.7759
Alabama,Florida banded water snake,Non Venomous,34.5189,-86.2492
