Scientific Name ▴,Fangs,Toxicity,Rating ?,Common name
Zamenis situla,rear-fanged,unclear toxicity,???,Leopard snake
Zamenis scalaris,rear-fanged,unclear toxicity,???,Ladder Snake
Zamenis persicus,rear-fanged,unclear toxicity,???,Persian Rat Snake
Zamenis longissimus,rear-fanged,unclear toxicity,???,Aesculapian snake
Zamenis lineatus,rear-fanged,unclear toxicity,???,Italian Aesculapian snake
Zamenis hohenackeri,rear-fanged,unclear toxicity,???,Transcaucasian rat snake
Xylophis stenorhynchus,rear-fanged,non-venomous,---,Günther's mountain snake
Xylophis perroteti,rear-fanged,non-venomous,---,Perrotet's mountain snake
Xylophis captaini,rear-fanged,non-venomous,---,Captain's wood snake
Xyelodontophis uluguruensis,rear-fanged,unclear toxicity,???,Dagger tooth Vine Snake
Xerotyphlops wilsoni,non-fanged,non-venomous,---,Iranian Worm Snake
Xerotyphlops vermicularis,non-fanged,non-venomous,---,Eurasian Blind Snake
Xerotyphlops socotranus,non-fanged,non-venomous,---,Socotra Worm Snake
Xerotyphlops luristanicus,non-fanged,non-venomous,---,Lorestan blind snake
Xerotyphlops etheridgei,non-fanged,non-venomous,---,Mauritanian Blind Snake
Xenotyphlops grandidieri,non-fanged,non-venomous,---,Mocquard's blind snake
Xenopholis werdingorum,rear-fanged,unclear toxicity,???,Bolivian Flat headed Snake
Xenopholis undulatus,rear-fanged,unclear toxicity,???,Jensen's Ground Snake
Xenopholis scalaris,rear-fanged,unclear toxicity,???,Wucherer's Ground Snake
Xenophidion schaeferi,non-fanged,non-venomous,---,Malayan Spinejaw Snake
Xenophidion acanthognathus,non-fanged,non-venomous,---,Bornean spine jawed snake
Xenopeltis unicolor,non-fanged,non-venomous,---,Asian Sunbeam Snake
Xenopeltis hainanensis,non-fanged,non-venomous,---,Hainan Sunbeam Snake
Xenodon werneri,rear-fanged,venomous,?💀?,Guianan Green Snake
Xenodon severus,rear-fanged,venomous,?💀?,Amazon False Fer de lance
Xenodon semicinctus,rear-fanged,venomous,💀💀,Ringed Hognose Snake
Xenodon rabdocephalus,rear-fanged,venomous,💀💀,False Fer de lance
Xenodon pulcher,rear-fanged,venomous,💀💀,Falsche Korallenschlange
Xenodon neuwiedii,rear-fanged,venomous,💀💀,Neuwied's False Fer de lance
Xenodon nattereri,rear-fanged,venomous,💀💀,Natterer's False Fer de Lance
Xenodon merremii,rear-fanged,venomous,💀💀,Giant Mock Lancehead
Xenodon matogrossensis,rear-fanged,venomous,💀💀,Matto Grosso False Fer de Lance
Xenodon histricus,rear-fanged,venomous,💀💀,Jan's Hognose Snake
Xenodon guentheri,rear-fanged,venomous,💀💀,Günther's False Fer de lance
Xenodon dorbignyi,rear-fanged,venomous,💀💀,South American Hognose Snake
Xenodermus javanicus,rear-fanged,non-venomous,---,Dragon snake
Xenochrophis vittatus,rear-fanged,venomous,?💀?,Striped Keelback
Xenochrophis tytleri,rear-fanged,venomous,?💀?,Tytler’s Keelback
Xenochrophis trianguligerus,rear-fanged,venomous,?💀?,Triangle Keelback
Xenochrophis schnurrenbergeri,rear-fanged,venomous,?💀?,Bar necked Keelback
Xenochrophis sanctijohannis,rear-fanged,venomous,?💀?,St. John's Keelback
